2-1-2025,11.3,,,,,,,,,,,,,,
2-2-2025,9.5,,,,,,,,,,,,,,
2-3-2025,15.7,13.3,,,,,,,,,,,,,
2-4-2025,8.8,5.0,5.0,,,,,,,,,,,,
2-5-2025,7.4,4.3,5.4,5.0,,,,,,,,,,,
2-6-2025,9.4,5.4,6.1,4.3,5.0,,,,,,,,,,
2-7-2025,19.2,9.0,8.6,12.6,6.5,7.6,11.2,,,,,,,,
2-8-2025,19.1,9.0,8.6,12.6,6.5,7.6,11.2,,,,,,,,
2-9-2025,5.8,4.3,3.6,4.7,3.2,9.0,13.3,20.9,,,,,,,
2-10-2025,9.0,6.1,8.3,6.1,4.0,11.5,8.3,14.8,21.2,,,,,,
2-11-2025,11.3,9.4,10.1,4.7,6.5,6.5,10.6,16.2,13.7,19.8,,,,,
2-12-2025,23.1,16.2,9.7,15.1,8.3,6.8,6.1,18.7,8.6,17.6,19.8,,,,
2-13-2025,12.2,5.0,4.0,5.0,6.5,6.1,8.3,5.4,18.7,19.8,31.3,10.8,10.8,,
2-14-2025,8.4,11.2,5.8,5.4,5.8,4.7,9.7,10.4,11.9,17.8,29.9,15.5,14.8,13.3,
2-15-2025,8.4,11.2,5.8,5.4,5.8,4.7,9.7,10.4,11.9,17.8,29.9,15.5,14.8,13.3,
2-16-2025,16.7,9.0,7.9,5.0,7.9,5.8,18.7,13.3,5.0,15.8,28.4,23.4,6.8,10.4,22.3
2-17-2025,10.2,6.1,11.9,16.6,5.0,5.8,9.5,11.8,19.8,5.4,11.5,25.6,23.0,7.2,15.1
2-18-2025,11.0,7.2,7.9,6.1,9.7,9.7,10.1,19.8,15.5,20.3,8.3,7.2,6.8,24.1,12.2
2-20-2025,22.1,8.8,13.3,17.6,20.9,15.5,22.3,25.6,18.7,7.7,7.9,14.8,9.7,27.7,13.0
2-21-2025,22.1,8.8,13.3,17.6,20.9,15.5,22.3,25.6,18.7,7.7,7.9,14.8,9.7,27.7,13.0
