forecast_issue_time,actual_time_24,temp_actual_24,temp_pred_24,hum_actual_24,hum_pred_24,rain_actual_24,rain_pred_24,pres_actual_24,pres_pred_24,wind_actual_24,wind_pred_24,actual_time_48,temp_actual_48,temp_pred_48,hum_actual_48,hum_pred_48,rain_actual_48,rain_pred_48,pres_actual_48,pres_pred_48,wind_actual_48,wind_pred_48,actual_time_72,temp_actual_72,temp_pred_72,hum_actual_72,hum_pred_72,rain_actual_72,rain_pred_72,pres_actual_72,pres_pred_72,wind_actual_72,wind_pred_72
2025-01-08 09:00:00,2025-01-09 09:00:00,5.9,5.2045913,88.0,83.14452,0.0,0.1285031,1020.8,1020.2635,10.7,8.85298,2025-01-10 09:00:00,4.0,5.15885,95.0,83.07635,0.0,0.12896854,1026.6,1019.99994,7.3,9.017304,2025-01-11 09:00:00,10.9,5.138038,90.0,83.135506,0.2,0.12975101,1024.8,1019.92694,17.0,9.05003
2025-01-08 10:00:00,2025-01-09 10:00:00,7.8,5.129617,83.0,83.17295,0.0,0.1262574,1021.6,1020.3732,11.8,8.908614,2025-01-10 10:00:00,6.2,5.1267915,93.0,83.06563,0.0,0.12726508,1027.3,1020.0803,5.7,9.045302,2025-01-11 10:00:00,11.5,5.110131,88.0,83.125694,0.1,0.12819129,1025.6,1019.99854,19.9,9.076155
2025-01-08 11:00:00,2025-01-09 11:00:00,9.7,5.042969,78.0,82.97913,0.0,0.12025731,1022.5,1020.67957,12.1,8.967538,2025-01-10 11:00:00,9.1,5.1077304,85.0,82.83254,0.0,0.12209934,1027.9,1020.3742,1.9,9.042499,2025-01-11 11:00:00,11.5,5.099591,88.0,82.88899,0.1,0.12315743,1026.0,1020.2888,25.0,9.065938
2025-01-08 12:00:00,2025-01-09 12:00:00,10.8,4.9265876,72.0,82.76087,0.0,0.114754036,1022.8,1020.80634,13.6,9.130294,2025-01-10 12:00:00,10.7,5.069962,79.0,82.5753,0.0,0.117206275,1027.8,1020.5462,1.9,9.110369,2025-01-11 12:00:00,11.8,5.0751557,84.0,82.61392,0.0,0.118214294,1026.4,1020.47363,27.0,9.119064
2025-01-08 13:00:00,2025-01-09 13:00:00,11.8,4.8521495,69.0,82.89821,0.0,0.11719374,1022.4,1020.42773,14.6,9.322737,2025-01-10 13:00:00,11.8,5.0136914,71.0,82.63993,0.0,0.118326336,1027.0,1020.2904,4.0,9.259141,2025-01-11 13:00:00,13.1,5.026047,67.0,82.64785,0.0,0.118888825,1026.1,1020.2531,20.6,9.25589
2025-01-08 14:00:00,2025-01-09 14:00:00,13.3,4.539368,60.0,82.39918,0.0,0.11104641,1021.9,1019.7735,18.7,10.066175,2025-01-10 14:00:00,13.0,4.8608365,59.0,82.36817,0.0,0.116568744,1026.2,1019.72943,4.9,9.721334,2025-01-11 14:00:00,14.3,4.9087596,65.0,82.375206,0.0,0.117546245,1025.3,1019.7175,21.7,9.668542
2025-01-08 15:00:00,2025-01-09 15:00:00,13.2,4.3145165,61.0,81.82718,0.0,0.102895446,1021.8,1019.4935,17.7,10.598058,2025-01-10 15:00:00,13.8,4.735781,57.0,81.96701,0.0,0.111919075,1025.5,1019.44696,11.1,10.0903425,2025-01-11 15:00:00,14.6,4.8049207,60.0,82.00054,0.0,0.113552205,1025.4,1019.4326,22.6,10.006502
2025-01-08 16:00:00,2025-01-09 16:00:00,12.8,4.214276,63.0,81.52611,0.0,0.09811672,1022.1,1019.42017,17.4,10.837495,2025-01-10 16:00:00,13.8,4.6664176,59.0,81.70444,0.0,0.10828138,1025.5,1019.3455,15.3,10.292949,2025-01-11 16:00:00,14.5,4.740584,60.0,81.754425,0.0,0.1102337,1025.7,1019.32245,25.0,10.201671
2025-01-08 17:00:00,2025-01-09 17:00:00,12.0,4.2515864,67.0,81.57266,0.0,0.097520724,1022.4,1019.5966,12.0,10.731316,2025-01-10 17:00:00,13.2,4.667686,64.0,81.6407,0.0,0.10646385,1025.4,1019.449,8.9,10.285394,2025-01-11 17:00:00,13.3,4.729404,63.0,81.69232,0.0,0.108362295,1026.2,1019.4061,22.0,10.214945
2025-01-08 18:00:00,2025-01-09 18:00:00,10.3,4.3700156,75.0,82.01829,0.0,0.10489639,1023.1,1019.46484,7.4,10.527978,2025-01-10 18:00:00,9.3,4.6885,83.0,81.87322,0.0,0.10976246,1025.8,1019.3474,4.1,10.2442,2025-01-11 18:00:00,12.1,4.730024,69.0,81.89986,0.0,0.11097401,1026.6,1019.31635,18.2,10.199882
2025-01-08 19:00:00,2025-01-09 19:00:00,8.8,4.595883,82.0,82.52548,0.0,0.113624334,1023.7,1019.4843,6.1,10.131943,2025-01-10 19:00:00,7.7,4.763698,89.0,82.18589,0.0,0.114286296,1026.1,1019.3147,4.2,10.095169,2025-01-11 19:00:00,11.2,4.7733893,74.0,82.19938,0.0,0.11490573,1026.8,1019.2714,9.8,10.095447
2025-01-08 20:00:00,2025-01-09 20:00:00,7.9,4.771664,86.0,82.97493,0.0,0.12256229,1024.4,1019.2647,6.2,9.8949795,2025-01-10 20:00:00,9.2,4.8277087,86.0,82.52713,0.0,0.11972272,1026.4,1019.1601,5.5,9.994423,2025-01-11 20:00:00,9.2,4.8202834,85.0,82.51759,0.0,0.1196674,1027.6,1019.13696,7.2,10.013799
2025-01-08 21:00:00,2025-01-09 21:00:00,8.0,4.9026027,86.0,83.2465,0.0,0.12835588,1024.8,1019.10815,7.0,9.739192,2025-01-10 21:00:00,9.2,4.8959975,90.0,82.775604,0.0,0.12376315,1026.3,1019.064,4.4,9.895828,2025-01-11 21:00:00,8.8,4.8813987,87.0,82.752304,0.0,0.12331429,1028.3,1019.0587,6.5,9.921065
2025-01-08 22:00:00,2025-01-09 22:00:00,7.7,5.029864,87.0,83.362755,0.0,0.13104413,1025.0,1019.1446,8.0,9.567115,2025-01-10 22:00:00,8.6,4.988685,92.0,82.9051,0.0,0.12573427,1026.7,1019.1364,4.8,9.746931,2025-01-11 22:00:00,7.6,4.9711375,90.0,82.87729,0.0,0.1251179,1029.1,1019.14087,4.2,9.773375
2025-01-08 23:00:00,2025-01-09 23:00:00,8.2,5.1357884,87.0,83.43316,0.0,0.13287504,1025.3,1019.1862,7.6,9.431822,2025-01-10 23:00:00,8.8,5.0815816,91.0,82.98399,0.0,0.1269855,1026.8,1019.2391,6.7,9.602622,2025-01-11 23:00:00,7.5,5.0654807,91.0,82.946815,0.0,0.1261729,1029.4,1019.26074,6.2,9.623992
2025-01-09 00:00:00,2025-01-10 00:00:00,7.2,5.2206674,90.0,83.48723,0.0,0.13433126,1025.8,1019.2048,5.9,9.333788,2025-01-11 00:00:00,8.7,5.159118,90.0,83.049095,0.0,0.12802607,1026.7,1019.31287,7.1,9.490378,2025-01-12 00:00:00,6.5,5.145099,92.0,83.00272,0.0,0.12703973,1029.3,1019.3504,8.7,9.50638
